 ,  ,performance
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.875
12:00,precision,0.5
12:00,recall,1.0
12:00,savedEffort,0.75
12:00,precision,0.5
12:00,recall,1.0
12:00,savedEffort,0.75
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8333333333333334
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8333333333333334
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8333333333333334
12:00,precision,0.0
12:00,recall,0.0
12:00,savedEffort,1.0
12:00,precision,0.0
12:00,recall,0.0
12:00,savedEffort,1.0
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.5
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.75
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8333333333333334
12:00,precision,0.0
12:00,recall,0.0
12:00,savedEffort,1.0
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8571428571428571
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8888888888888888
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.9090909090909091
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8571428571428571
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8888888888888888
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.9090909090909091
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.9090909090909091
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.9090909090909091
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.9090909090909091
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8888888888888888
12:00,precision,0.0
12:00,recall,0.0
12:00,savedEffort,1.0
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8333333333333334
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8333333333333334
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8571428571428571
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.6
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.875
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.9
12:00,precision,0.0
12:00,recall,0.0
12:00,savedEffort,1.0
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.75
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.9
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8333333333333334
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8571428571428571
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.9
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.875
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.6
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8333333333333334
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.875
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8888888888888888
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.9090909090909091
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.75
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.5
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8571428571428571
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8888888888888888
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.9
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8333333333333334
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8333333333333334
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.875
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.5
12:00,precision,0.0
12:00,recall,0.0
12:00,savedEffort,1.0
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.6
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.8571428571428571
12:00,precision,1.0
12:00,recall,1.0
12:00,savedEffort,0.875
12:00,precision,1.0
12:00,recall,1.0
